respondent_id,persona_label,persona_id,A_city_tier,A_gender,A_age,A_education_level,A_stream,A_institution_type,A_family_income_band,A_family_income_score,B_prior_paid_course,B_prior_paid_score,B_exam_prep,B_acad_performance_score,B_acad_performance_label,B_self_learning_hrs,B_self_learning_score,C_career_clarity_stage,C_confusion_level_score,C_confusion_level_label,C_worry_frequency_score,C_worry_frequency_label,C_family_decision_authority,C_family_decision_score,C_trusted_info_source,C_prior_platform_use,C_biggest_challenge,C_emotional_pain_type,D_risk_tolerance,D_risk_tolerance_score,D_motivation_type,D_motivation_score,D_locus_of_control_score,D_locus_of_control_label,D_career_stage,E_career_domain_1,E_career_domain_2,E_career_domain_3,E_learning_preference,E_feat_career_match,E_feat_roadmap,E_feat_job_market,E_feat_chatbot,E_feat_college_rec,E_feat_mock_interview,E_feat_scholarship,E_feat_peer_bench,E_primary_device,E_language_preference,E_longitudinal_consent,F_wtp_monthly_band,F_wtp_score_continuous,F_pricing_model_pref,F_payment_trigger,F_will_pay_binary,F_will_use_platform,F_will_use_binary
R0011,Confused Explorer,0,Tier 3,Male,15,Grade 8-10,Vocational/Other,Private,Rs5L-Rs10L,3,Parents pay,2,UPSC,2,Below Average,1-3hrs,2,"Have interests, dont know career match",3,Medium,4,Often,Mostly parents I follow,2,Friends in career,No but looked,Dont know strengths,Lacks self-awareness,Depends on factors,2,Balanced both,4,2,Mostly External,Exploration,Finance,Design,Defence,Reading articles,3,3,3,2,5,1.0,4,5.0,Smartphone Android,English only,No,Free only,0.0,Free one-time report,Teacher recommendation,0,Yes,1
R0012,Budget Conscious Learner,3,Tier 2,Male,18,Undergraduate,Science,Private,Below Rs2L,1,Yes currently,4,Not sure,3,Average,3-5hrs,3,"Know what I want, not how to get there",2,Low,2,Rarely,Mostly me parents input,4,Parents/relatives,Yes not helpful enough,Dont know strengths,Financial anxiety,Stable job,1,Mostly personal growth,2,2,Mostly External,Execution,Technology,Medicine,Teaching,Talking to mentor,4,4,2,2,4,4.0,5,3.0,Smartphone Android,Hindi,No,Free only,0.0,Free one-time report,Outcome data,0,Yes,1
R0013,Budget Conscious Learner,3,Tier 1,Male,20,Undergraduate,Arts,Government/Aided,Rs10L-Rs20L,4,Parents pay,2,None,4,Good,1-3hrs,2,"Know what I want, not how to get there",3,Medium,3,Sometimes,Parents already decided,1,Career apps,Yes not helpful enough,Too many options,Financial anxiety,Stable job,1,Balanced both,3,3,Balanced,Decision Making,Defence,Finance,Law,Quizzes interactive,3,2,3,4,3,2.0,5,3.0,Shared family device,Regional language,No,Up to Rs99,0.9,Completely free,Affordable price,1,No,0
R0014,Parent Driven Student,4,Tier 2,Male,18,Grade 11-12,Arts,Government/Aided,Rs10L-Rs20L,4,Parents pay,2,UPSC,3,Average,1-3hrs,2,"Chosen path, need plan",4,High,5,Almost Every Day,Mostly parents I follow,2,Career apps,No but looked,Family pressure,Overwhelmed by options,Stable job,1,Mostly personal growth,4,3,Balanced,Planning,Media,Science Research,Design,Talking to mentor,4,5,5,1,5,3.0,3,3.0,Smartphone Android,Regional language,No,Rs300-Rs499,5.2,School pays,Teacher recommendation,1,Yes,1
R0015,Budget Conscious Learner,3,Tier 1,Male,16,Grade 11-12,Arts,Private,Above Rs20L,5,No free only,1,JEE,4,Good,3-5hrs,3,"Know what I want, not how to get there",5,Very High,4,Often,I decide completely,5,Dont trust any,No didnt know,Too many options,Information gap,Stable job,1,Balanced both,3,4,Mostly Internal,Exploration,Finance,Law,Media,Talking to mentor,2,5,4,4,4,1.0,4,,Smartphone Android,English only,No,Rs300-Rs499,4.7,Free one-time report,Affordable price,1,Yes,1
R0016,Budget Conscious Learner,3,Tier 3,Male,25,Postgraduate,Commerce,Government/Aided,Rs10L-Rs20L,4,Yes before,3,Not sure,5,Excellent,3-5hrs,3,"Know what I want, not how to get there",4,High,3,Sometimes,Equal joint decision,3,YouTube/Instagram,No didnt know,Wrong college choice,Financial anxiety,Depends on factors,2,Balanced both,3,3,Balanced,Planning,Business,Defence,Design,Hands-on projects,3,3,3,3,3,2.0,5,5.0,Laptop/Desktop,Regional language,Yes,Free only,0.3,Monthly subscription,Outcome data,0,Yes,1
R0017,Focused Achiever,1,Tier 2,Female,13,Grade 8-10,Science,Government/Aided,Rs10L-Rs20L,4,No free only,1,NEET,5,Excellent,3-5hrs,3,"Chosen path, need plan",2,Low,3,Sometimes,Mostly parents I follow,2,Official websites,Yes helpful,Lack of info new careers,Information gap,High-risk reward,3,Balanced both,4,3,Balanced,Exploration,Law,Technology,Defence,Live workshops,5,4,5,3,3,5.0,5,3.0,Smartphone iOS,Hindi,Yes,Rs300-Rs499,4.9,Annual plan,Outcome data,1,Yes,1
R0018,Confused Explorer,0,Tier 1,Male,20,Undergraduate,Commerce,Private,Rs2L-Rs5L,2,No free only,1,UPSC,2,Below Average,More than 10hrs,5,No idea where to begin,5,Very High,2,Rarely,Mostly parents I follow,2,Official websites,No but looked,Dont know strengths,Overwhelmed by options,Stable job,1,Mostly financial,1,3,Balanced,Exploration,Finance,Media,Science Research,Talking to mentor,3,4,2,4,4,4.0,5,3.0,Smartphone Android,No preference,Yes,Up to Rs99,0.7,Completely free,Affordable price,1,Yes,1
R0019,Budget Conscious Learner,3,Tier 2,Female,14,Grade 8-10,Science,Government/Aided,Rs5L-Rs10L,3,No free only,1,None,2,Below Average,3-5hrs,3,On path but feel I chose wrongly,3,Medium,3,Sometimes,Equal joint decision,3,YouTube/Instagram,Yes not helpful enough,Wrong college choice,Lacks self-awareness,Stable job,1,Balanced both,1,5,Internal,Exploration,Design,Technology,Finance,Live workshops,5,4,4,4,2,3.0,4,4.0,Smartphone Android,Regional language,Yes,Free only,0.3,School pays,Free trial,0,No,0
R0020,Budget Conscious Learner,3,Tier 3,Male,19,Undergraduate,Science,Government/Aided,Rs2L-Rs5L,2,Parents pay,2,Not sure,2,Below Average,1-3hrs,2,No idea where to begin,2,Low,3,Sometimes,Parents already decided,1,YouTube/Instagram,No didnt know,Wrong college choice,Execution gap,Stable job,1,Balanced both,2,3,Balanced,Decision Making,Science Research,Technology,Design,Talking to mentor,4,4,4,5,3,4.0,2,4.0,Smartphone Android,Hindi,No,Free only,0.2,Free one-time report,Free trial,0,No,0
R0021,Focused Achiever,1,Tier 1,Female,26,Postgraduate,Science,Private,Rs2L-Rs5L,2,Yes before,3,Not sure,5,Excellent,5-10hrs,4,"Chosen path, need plan",3,Medium,2,Rarely,I decide completely,5,Dont trust any,No didnt know,Job availability worry,Information gap,High-risk reward,3,Balanced both,4,5,Internal,Decision Making,Medicine,Media,Technology,Reading articles,5,5,5,3,4,4.0,3,4.0,Smartphone iOS,No preference,Yes,Rs300-Rs499,5.1,Annual plan,Outcome data,1,Yes,1
R0022,Confused Explorer,0,Tier 1,Male,16,Grade 11-12,Arts,Government/Aided,Rs5L-Rs10L,3,Parents pay,2,CLAT,3,Average,3-5hrs,3,On path but feel I chose wrongly,3,Medium,3,Sometimes,Parents already decided,1,Parents/relatives,Yes not helpful enough,Lack of info new careers,Overwhelmed by options,High-risk reward,3,Mostly personal growth,2,3,Balanced,Decision Making,Law,Teaching,Finance,Watching videos,2,4,3,5,4,3.0,4,5.0,Smartphone Android,English only,No,Free only,0.0,Free one-time report,Affordable price,0,Yes,1
R0023,Parent Driven Student,4,Tier 3,Female,24,Postgraduate,Commerce,Private,Rs2L-Rs5L,2,No free only,1,None,3,Average,Less than 1hr,1,Parents decided - not sure its right,4,High,3,Sometimes,Mostly parents I follow,2,YouTube/Instagram,No but looked,Family pressure,Family conflict,Stable job,1,Mostly personal growth,3,4,Mostly Internal,Exploration,Business,Science Research,Media,Watching videos,3,5,3,3,2,3.0,4,4.0,Shared family device,Hindi,Yes,Rs300-Rs499,7.9687829727351325,Free one-time report,Affordable price,0,No,0
R0024,Focused Achiever,1,Tier 1,Female,17,Grade 11-12,Science,Private,Rs10L-Rs20L,4,Yes currently,4,CAT/MBA,4,Good,3-5hrs,3,"Chosen path, need plan",2,Low,2,Rarely,Mostly me parents input,4,Career apps,No but looked,Lack of info new careers,Execution gap,High-risk reward,3,Mostly personal growth,5,4,Mostly Internal,Planning,Law,Technology,Medicine,Hands-on projects,5,3,4,5,3,5.0,3,4.0,Smartphone Android,Regional language,Yes,Rs300-Rs499,4.7,Annual plan,Friend recommendation,1,Yes,1
R0025,Focused Achiever,1,Tier 2,Male,22,Undergraduate,Vocational/Other,Private,Below Rs2L,1,Yes before,3,NEET,4,Good,5-10hrs,4,"Have interests, dont know career match",2,Low,3,Sometimes,Mostly me parents input,4,Dont trust any,Yes helpful,Lack of info new careers,Financial anxiety,Stable job,1,Mostly financial,5,4,Mostly Internal,Decision Making,Design,Business,Technology,Reading articles,4,5,5,5,4,5.0,3,4.0,Smartphone Android,English Hindi mix,Yes,Rs100-Rs299,3.2,Monthly subscription,Free trial,1,Yes,1
R0026,Budget Conscious Learner,3,Tier 3,Male,18,Grade 11-12,Arts,Government/Aided,Rs2L-Rs5L,2,No free only,1,None,2,Below Average,5-10hrs,4,No idea where to begin,4,High,2,Rarely,Mostly me parents input,4,Official websites,No didnt know,Dont know strengths,Lacks self-awareness,High-risk reward,3,Mostly financial,2,2,Mostly External,Planning,Technology,Law,Business,Reading articles,4,5,5,3,4,4.0,4,3.0,Smartphone Android,Hindi,No,Free only,0.4,Completely free,No trigger,0,Yes,1
R0027,Budget Conscious Learner,3,Tier 3,Male,13,Grade 8-10,Science,Private,Below Rs2L,1,No free only,1,CLAT,2,Below Average,1-3hrs,2,"Know what I want, not how to get there",4,High,3,Sometimes,Mostly parents I follow,2,Parents/relatives,No didnt know,Wrong college choice,Financial anxiety,Stable job,1,Mostly financial,1,3,Balanced,Decision Making,Teaching,Technology,Business,Watching videos,4,4,3,3,5,4.0,4,1.0,Smartphone Android,Regional language,Yes,Rs100-Rs299,3.3,Free one-time report,Friend recommendation,1,Yes,1
R0028,Career Switcher,2,Tier 3,Other/Prefer not to say,18,Grade 11-12,Science,Private,Above Rs20L,5,No free only,1,NDA,3,Average,1-3hrs,2,Parents decided - not sure its right,3,Medium,3,Sometimes,Mostly me parents input,4,Parents/relatives,Yes not helpful enough,Job availability worry,Information gap,Depends on factors,2,Mostly personal growth,3,4,Mostly Internal,Planning,Business,Medicine,Technology,Talking to mentor,4,3,4,3,5,2.0,5,4.0,Smartphone Android,English only,Yes,Up to Rs99,1.1,Monthly subscription,Free trial,1,Yes,1
R0029,Focused Achiever,1,Tier 2,Male,16,Grade 11-12,Arts,Government/Aided,Rs5L-Rs10L,3,Yes currently,4,CAT/MBA,5,Excellent,1-3hrs,2,No idea where to begin,1,Very Low,3,Sometimes,Mostly me parents input,4,School counselor,Yes helpful,Job availability worry,Execution gap,High-risk reward,3,Balanced both,5,5,Internal,Planning,Business,Law,Science Research,Talking to mentor,5,4,5,4,4,5.0,5,5.0,Smartphone Android,Hindi,Yes,Rs300-Rs499,5.0,Monthly subscription,Friend recommendation,1,Yes,1
R0030,Focused Achiever,1,Tier 1,Female,22,Postgraduate,Science,Private,Rs5L-Rs10L,3,Yes currently,4,Not sure,5,Excellent,3-5hrs,3,"Chosen path, need plan",2,Low,3,Sometimes,I decide completely,5,Friends in career,Yes not helpful enough,Wrong college choice,Financial anxiety,High-risk reward,3,Balanced both,5,4,Mostly Internal,Execution,Medicine,Technology,Defence,Quizzes interactive,3,5,5,5,3,5.0,3,4.0,Smartphone Android,Hindi,No,Rs500-Rs999,7.3,Monthly subscription,Teacher recommendation,1,Yes,1
R0031,Focused Achiever,1,Tier 2,Male,21,Undergraduate,Science,Private,Rs2L-Rs5L,2,No free only,1,CUET,4,Good,3-5hrs,3,"Know what I want, not how to get there",1,Very Low,3,Sometimes,I decide completely,5,Official websites,Yes not helpful enough,Wrong college choice,Overwhelmed by options,Stable job,1,Mostly personal growth,4,4,Mostly Internal,Execution,Business,Design,Technology,Quizzes interactive,4,4,4,4,4,4.0,4,2.0,Smartphone Android,No preference,Yes,Rs300-Rs499,5.3,Annual plan,Affordable price,1,Yes,1
R0032,Budget Conscious Learner,3,Tier 2,Male,23,Postgraduate,Science,Central School,Below Rs2L,1,Parents pay,2,Not sure,3,Average,More than 10hrs,5,"Chosen path, need plan",3,Medium,3,Sometimes,Mostly me parents input,4,Official websites,No didnt know,Lack of info new careers,Family conflict,Stable job,1,Mostly financial,4,4,Mostly Internal,Planning,Finance,Design,Technology,Reading articles,3,4,4,4,4,3.0,5,4.0,Laptop/Desktop,English Hindi mix,No,Free only,0.2,Monthly subscription,Friend recommendation,0,No,0
R0033,Confused Explorer,0,Tier 1,Female,21,Undergraduate,Commerce,Central School,Rs5L-Rs10L,3,Yes before,3,CUET,4,Good,1-3hrs,2,"Have interests, dont know career match",4,High,3,Sometimes,Mostly me parents input,4,Parents/relatives,No but looked,Family pressure,Overwhelmed by options,Stable job,1,Mostly financial,3,2,Mostly External,Exploration,Social Work,Business,Law,Reading articles,4,5,4,3,5,4.0,5,4.0,Shared family device,English Hindi mix,Yes,Up to Rs99,0.8,Completely free,No trigger,1,Yes,1
R0034,Focused Achiever,1,Tier 2,Female,19,Undergraduate,Science,Private,Rs5L-Rs10L,3,Yes currently,4,UPSC,5,Excellent,1-3hrs,2,"Have interests, dont know career match",1,Very Low,3,Sometimes,I decide completely,5,School counselor,No didnt know,Lack of info new careers,Execution gap,Depends on factors,2,Mostly financial,5,4,Mostly Internal,Decision Making,Technology,Law,Science Research,Watching videos,3,5,5,5,4,5.0,3,4.0,Smartphone Android,English only,No,Free only,0.1,Monthly subscription,No trigger,0,No,0
R0035,Parent Driven Student,4,Tier 2,Female,20,Undergraduate,Science,Government/Aided,Rs2L-Rs5L,2,Parents pay,2,Not sure,3,Average,5-10hrs,4,Parents decided - not sure its right,4,High,3,Sometimes,Parents already decided,1,Friends in career,No didnt know,Family pressure,Family conflict,Depends on factors,2,Mostly financial,4,4,Mostly Internal,Planning,Technology,Teaching,Business,Live workshops,2,3,3,5,4,1.0,3,3.0,Laptop/Desktop,English Hindi mix,No,Up to Rs99,1.1,Free one-time report,Teacher recommendation,1,No,0
R0036,Focused Achiever,1,Tier 3,Female,27,Postgraduate,Science,Private,Rs10L-Rs20L,4,Yes before,3,CAT/MBA,5,Excellent,3-5hrs,3,"Chosen path, need plan",2,Low,3,Sometimes,Equal joint decision,3,Friends in career,Yes helpful,Lack of info new careers,Execution gap,High-risk reward,3,Mostly personal growth,4,4,Mostly Internal,Exploration,Medicine,Technology,Design,Live workshops,5,4,4,5,2,4.0,3,3.0,Smartphone Android,Regional language,Yes,Rs300-Rs499,5.3,Annual plan,Outcome data,1,Yes,1
R0037,Budget Conscious Learner,3,Tier 3,Male,20,Undergraduate,Arts,Private,Below Rs2L,1,No free only,1,Design,3,Average,1-3hrs,2,"Have interests, dont know career match",2,Low,2,Rarely,Mostly parents I follow,2,YouTube/Instagram,No but looked,Lack of info new careers,Lacks self-awareness,Stable job,1,Mostly personal growth,3,3,Balanced,Planning,Design,Media,Business,Watching videos,5,4,3,4,4,4.0,4,4.0,Smartphone Android,English Hindi mix,No,Up to Rs99,0.7,Completely free,Affordable price,1,No,0
R0038,Budget Conscious Learner,3,Tier 2,Male,17,Grade 11-12,Commerce,Government/Aided,Below Rs2L,1,No free only,1,CAT/MBA,3,Average,1-3hrs,2,Parents decided - not sure its right,3,Medium,4,Often,Equal joint decision,3,YouTube/Instagram,No but looked,Dont know strengths,Information gap,Stable job,1,Mostly financial,4,3,Balanced,Decision Making,Business,Media,Finance,Reading articles,4,3,3,5,4,1.0,4,3.0,Smartphone Android,English only,No,Up to Rs99,1.2,Free one-time report,No trigger,1,No,0
R0039,Focused Achiever,1,Tier 1,Female,21,Undergraduate,Science,Private,Rs5L-Rs10L,3,Yes before,3,CUET,5,Excellent,1-3hrs,2,"Know what I want, not how to get there",2,Low,1,Never,Mostly me parents input,4,Parents/relatives,Yes not helpful enough,Too many options,Financial anxiety,Stable job,1,Balanced both,4,3,Balanced,Planning,Business,Design,Medicine,Talking to mentor,5,5,3,5,3,5.0,3,2.0,Laptop/Desktop,English Hindi mix,No,Up to Rs99,7.158658301618139,Free one-time report,Teacher recommendation,0,Yes,1
R0040,Confused Explorer,0,Tier 3,Male,17,Grade 11-12,Science,Online/Distance,Rs5L-Rs10L,3,Parents pay,2,CUET,3,Average,3-5hrs,3,No idea where to begin,4,High,3,Sometimes,Mostly me parents input,4,Parents/relatives,Yes not helpful enough,Lack of info new careers,Family conflict,Depends on factors,2,Mostly personal growth,2,3,Balanced,Planning,Design,Science Research,Defence,Live workshops,3,4,5,3,3,3.0,5,4.0,Laptop/Desktop,Regional language,Yes,Free only,0.0,Completely free,Friend recommendation,0,Yes,1
R0041,Focused Achiever,1,Tier 2,Male,22,Undergraduate,Commerce,Private,Rs5L-Rs10L,3,Yes currently,4,NEET,5,Excellent,Less than 1hr,1,"Chosen path, need plan",1,Very Low,2,Rarely,Mostly me parents input,4,Career apps,Yes helpful,Wrong college choice,Information gap,Depends on factors,2,Mostly financial,4,5,Internal,Execution,Finance,Law,Defence,Watching videos,5,4,4,4,4,5.0,4,5.0,Laptop/Desktop,Regional language,Yes,Up to Rs99,1.1,Free one-time report,Outcome data,1,Yes,1
R0042,Confused Explorer,0,Tier 2,Male,18,Grade 11-12,Vocational/Other,Private,Rs2L-Rs5L,2,No free only,1,Not sure,2,Below Average,1-3hrs,2,On path but feel I chose wrongly,5,Very High,2,Rarely,Parents already decided,1,YouTube/Instagram,Yes not helpful enough,Lack of info new careers,Family conflict,Stable job,1,Mostly personal growth,2,3,Balanced,Exploration,Technology,Defence,Medicine,Quizzes interactive,2,4,4,2,3,4.0,5,2.0,Laptop/Desktop,English only,Yes,Rs100-Rs299,3.2,Free one-time report,Free trial,1,Yes,1
R0043,Career Switcher,2,Tier 1,Male,21,Undergraduate,Vocational/Other,Private,Rs5L-Rs10L,3,No free only,1,None,4,Good,1-3hrs,2,On path but feel I chose wrongly,4,High,4,Often,Mostly me parents input,4,Official websites,No didnt know,Wrong college choice,Financial anxiety,Stable job,1,Mostly personal growth,3,4,Mostly Internal,Decision Making,Technology,Teaching,Business,Hands-on projects,4,5,3,4,4,3.0,3,2.0,Smartphone Android,Hindi,Yes,Up to Rs99,1.2,Completely free,School subscribed,1,No,0
R0044,Budget Conscious Learner,3,Tier 2,Male,17,Grade 11-12,Vocational/Other,Government/Aided,Rs5L-Rs10L,3,No free only,1,Not sure,2,Below Average,More than 10hrs,5,No idea where to begin,3,Medium,2,Rarely,Equal joint decision,3,School counselor,No didnt know,Lack of info new careers,Overwhelmed by options,Stable job,1,Balanced both,2,2,Mostly External,Exploration,Business,Technology,Medicine,Talking to mentor,3,5,4,5,4,4.0,3,4.0,Smartphone iOS,Hindi,No,Up to Rs99,0.6,Completely free,Affordable price,1,Yes,1
R0045,Parent Driven Student,4,Tier 1,Male,21,Undergraduate,Arts,Central School,Rs10L-Rs20L,4,Parents pay,2,None,3,Average,3-5hrs,3,Parents decided - not sure its right,4,High,3,Sometimes,Parents already decided,1,Parents/relatives,No but looked,Wrong college choice,Family conflict,Depends on factors,2,Mostly personal growth,4,1,External,Decision Making,Technology,Law,Science Research,Watching videos,4,5,3,4,4,3.0,5,3.0,Smartphone iOS,English Hindi mix,Yes,Rs300-Rs499,5.3,Free one-time report,Affordable price,1,Yes,1
R0046,Confused Explorer,0,Tier 1,Female,26,Postgraduate,Commerce,Private,Rs2L-Rs5L,2,No free only,1,None,3,Average,3-5hrs,3,Parents decided - not sure its right,3,Medium,3,Sometimes,Equal joint decision,3,School counselor,No didnt know,Too many options,Lacks self-awareness,Stable job,1,Balanced both,3,3,Balanced,Transition,Business,Law,Teaching,Talking to mentor,3,3,4,3,2,3.0,4,3.0,Smartphone Android,English only,Yes,Up to Rs99,0.7,Completely free,Affordable price,1,Yes,1
R0047,Career Switcher,2,Tier 2,Male,22,Undergraduate,Science,Central School,Rs10L-Rs20L,4,No free only,1,CUET,2,Below Average,1-3hrs,2,"Know what I want, not how to get there",4,High,3,Sometimes,Equal joint decision,3,Official websites,No didnt know,Family pressure,Financial anxiety,Stable job,1,Balanced both,3,4,Mostly Internal,Transition,Medicine,Technology,Social Work,Watching videos,5,5,3,4,3,2.0,5,3.0,Laptop/Desktop,Hindi,Yes,Rs100-Rs299,3.3,Free one-time report,Friend recommendation,1,Yes,1
R0048,Parent Driven Student,4,Tier 3,Male,13,Grade 8-10,Vocational/Other,Government/Aided,Rs2L-Rs5L,2,Yes currently,4,None,2,Below Average,1-3hrs,2,Parents decided - not sure its right,5,Medium,4,Often,Equal joint decision,3,School counselor,No but looked,Family pressure,Family conflict,Stable job,1,Balanced both,3,2,Mostly External,Decision Making,Social Work,Science Research,Defence,Live workshops,4,4,3,3,4,2.0,2,3.0,Laptop/Desktop,Regional language,Yes,Rs100-Rs299,3.0,School pays,Free trial,1,Yes,1
R0049,Focused Achiever,1,Tier 1,Female,19,Undergraduate,Commerce,Private,Above Rs20L,5,Yes currently,4,CUET,5,Excellent,Less than 1hr,1,"Chosen path, need plan",3,Medium,2,Rarely,I decide completely,5,Career apps,Yes not helpful enough,Job availability worry,Execution gap,High-risk reward,3,Mostly financial,3,3,Balanced,Execution,Finance,Business,Media,Watching videos,3,5,3,5,5,4.0,5,2.0,Laptop/Desktop,English only,No,Rs100-Rs299,3.2,Annual plan,Outcome data,1,Yes,1
